discr,reduction,operator,freq,cds,corpus,base,context_type,dimensionality,neg,similarity,SimLex999,men
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,1000,,correlation,0.312,0.652
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,1000,,cos,0.315,0.637
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,2000,,correlation,0.33,0.685
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,2000,,cos,0.327,0.673
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,3000,,correlation,0.337,0.695
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,3000,,cos,0.324,0.68
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,5000,,correlation,0.344,0.703
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,5000,,cos,0.317,0.68
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,10000,,correlation,0.352,0.715
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,10000,,cos,0.303,0.674
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,20000,,correlation,0.35,0.726
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,20000,,cos,0.276,0.66
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,30000,,correlation,0.342,0.725
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,30000,,cos,0.256,0.647
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,40000,,correlation,0.333,0.724
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,40000,,cos,0.241,0.64
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,50000,,correlation,0.328,0.723
cpmi,raw,head,1,0.75,ukwac_wackypedia,,nvaa,50000,,cos,0.232,0.636
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,1000,,correlation,0.316,0.653
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,1000,,cos,0.32,0.64
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,2000,,correlation,0.33,0.684
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,2000,,cos,0.328,0.672
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,3000,,correlation,0.333,0.69
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,3000,,cos,0.321,0.675
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,5000,,correlation,0.334,0.695
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,5000,,cos,0.305,0.666
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,10000,,correlation,0.334,0.703
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,10000,,cos,0.277,0.644
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,20000,,correlation,0.326,0.714
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,20000,,cos,0.232,0.612
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,30000,,correlation,0.317,0.713
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,30000,,cos,0.201,0.59
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,40000,,correlation,0.308,0.713
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,40000,,cos,0.182,0.582
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,50000,,correlation,0.305,0.714
cpmi,raw,head,1,1,ukwac_wackypedia,,nvaa,50000,,cos,0.173,0.579
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,1000,,correlation,0.298,0.624
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,1000,,cos,0.297,0.605
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,2000,,correlation,0.316,0.656
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,2000,,cos,0.301,0.627
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,3000,,correlation,0.319,0.665
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,3000,,cos,0.292,0.625
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,5000,,correlation,0.32,0.673
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,5000,,cos,0.271,0.608
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,10000,,correlation,0.321,0.684
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,10000,,cos,0.238,0.577
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,20000,,correlation,0.311,0.697
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,20000,,cos,0.19,0.541
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,30000,,correlation,0.303,0.698
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,30000,,cos,0.161,0.524
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,40000,,correlation,0.295,0.7
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,40000,,cos,0.146,0.522
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,50000,,correlation,0.293,0.702
cpmi,raw,head,1,global,ukwac_wackypedia,,nvaa,50000,,cos,0.139,0.525
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,1000,,correlation,0.315,0.659
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,1000,,cos,0.307,0.633
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,2000,,correlation,0.335,0.703
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,2000,,cos,0.322,0.685
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,3000,,correlation,0.342,0.714
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,3000,,cos,0.322,0.697
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,5000,,correlation,0.35,0.724
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,5000,,cos,0.322,0.704
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,10000,,correlation,0.363,0.736
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,10000,,cos,0.326,0.71
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,20000,,correlation,0.367,0.744
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,20000,,cos,0.326,0.714
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,30000,,correlation,0.361,0.742
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,30000,,cos,0.321,0.713
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,40000,,correlation,0.356,0.739
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,40000,,cos,0.319,0.71
cpmi,raw,head,logn,0.75,ukwac_wackypedia,,nvaa,50000,,correlation,0.352,0.736
